No.,Out Carrier,In Carrier,Departure,Arrival,Out Start date,Out End date,Out Start time,Out End time,In Start date,In End date,In Start time,In End time,Out Agent,In Agent,Out Price,In Price,Total price 
1,BI (FSC),VN (FSC),BWN,VCL,2016-10-16,2016-10-18,18:20,09:05,2016-10-31,2016-11-01,15:15,17:15,GotoGate,GotoGate,164457.0,0.0,164457.0
2,BI (FSC),VN (FSC),BWN,VCL,2016-10-16,2016-10-17,10:30,09:05,2016-10-31,2016-11-01,15:15,17:15,GotoGate,GotoGate,168447.0,0.0,168447.0
3,BI (FSC),VN (FSC),BWN,VCL,2016-10-16,2016-10-17,18:20,09:05,2016-10-31,2016-11-01,15:15,17:10,GotoGate,GotoGate,168867.0,0.0,168867.0
4,BI (FSC),VN (FSC),BWN,VCL,2016-10-16,2016-10-18,18:20,09:05,2016-10-31,2016-11-01,15:15,17:10,GotoGate,GotoGate,179257.0,0.0,179257.0
5,BI (FSC),VN (FSC),BWN,VCL,2016-10-16,2016-10-17,09:15,09:05,2016-10-31,2016-11-01,15:15,17:15,GotoGate,GotoGate,181707.0,0.0,181707.0
6,BI (FSC),VN (FSC),BWN,VCL,2016-10-16,2016-10-17,09:15,09:05,2016-10-31,2016-11-01,15:15,17:10,GotoGate,GotoGate,183755.0,0.0,183755.0
7,BI (FSC),VN (FSC),BWN,VCL,2016-10-16,2016-10-17,12:00,09:05,2016-10-31,2016-11-01,15:15,17:10,GotoGate,GotoGate,190377.0,0.0,190377.0
8,BI (FSC),72 (FSC),BWN,VCL,2016-10-16,2016-10-17,10:30,08:40,2016-10-31,2016-11-01,13:25,17:10,Tripsta,Tripsta,227286.0,0.0,227286.0
9,BI (FSC),72 (FSC),BWN,VCL,2016-10-16,2016-10-17,10:30,08:40,2016-10-31,2016-10-31,13:25,23:59,Tripsta,Tripsta,227288.0,0.0,227288.0
10,BI (FSC),72 (FSC),BWN,VCL,2016-10-16,2016-10-17,10:30,08:40,2016-10-31,2016-11-01,13:25,09:20,Tripsta,Tripsta,287446.0,0.0,287446.0
